run_ts_utc,experiment_name,train_cut,test_cut,test_end,model,logloss,accuracy,macro_f1,home_recall,draw_recall,away_recall,home_precision,draw_precision,away_precision,bets,hit_rate,roi,profit,avg_odds,winner_logloss,winner_roi
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,base,0.993119,0.519231,,,,,,,,1015,26.8966,-8.8816,-1.8562,4.142,0,0
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,market,0.97051,0.54068,,,,,,,,0,0.0,0.0,0.0,0.0,1,0
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,meta,0.978331,0.530325,,,,,,,,1032,28.9729,-4.4365,-0.8117,3.8335,0,0
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,logreg,0.974493,0.530325,,,,,,,,1191,34.9286,-0.2197,-0.0421,3.4484,0,0
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,mlp,0.977783,0.525888,,,,,,,,1060,25.1887,1.2042,0.1857,4.375,0,1
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,ensemble,0.97051,0.54068,,,,,,,,0,0.0,0.0,0.0,0.0,0,0
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,base,0.993119,0.519231,,,,,,,,1015,26.8966,-8.8816,-1.8562,4.142,0,0
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,market,0.97051,0.54068,,,,,,,,0,0.0,0.0,0.0,0.0,1,0
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,meta,0.977252,0.529586,,,,,,,,982,28.4114,-4.0534,-0.6276,3.9037,0,0
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,logreg,0.974558,0.532544,,,,,,,,1192,34.8993,-0.6617,-0.128,3.4368,0,0
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,mlp,0.977779,0.528846,,,,,,,,1052,25.3802,1.1763,0.1773,4.375,0,1
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,2024-07-01,2025-07-01,,ensemble,0.97051,0.54068,,,,,,,,0,0.0,0.0,0.0,0.0,0,0
2026-04-27T12:25:23.148916+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,base,0.993119,0.519231,,,,,,,,1015,26.8966,-8.8816,-1.8562,4.142,0,0
2026-04-27T12:25:23.148916+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,market,0.97051,0.54068,,,,,,,,0,0.0,0.0,0.0,0.0,1,0
2026-04-27T12:25:23.148916+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,meta,0.978022,0.529586,,,,,,,,958,27.8706,-2.2876,-0.3354,3.984,0,0
2026-04-27T12:25:23.148916+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,logreg,0.974558,0.532544,,,,,,,,1192,34.8993,-0.6617,-0.128,3.4368,0,0
2026-04-27T12:25:23.148916+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,mlp,0.974585,0.530325,,,,,,,,1029,29.0573,2.0201,0.3299,4.0264,0,1
2026-04-27T12:25:23.148916+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,ensemble,0.97051,0.54068,,,,,,,,0,0.0,0.0,0.0,0.0,0,0
2026-04-27T12:45:05.121695+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,base,0.993119,0.519231,,,,,,,,1015,26.8966,-8.8816,-1.8562,4.142,0,0
2026-04-27T12:45:05.121695+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,market,0.97051,0.54068,,,,,,,,0,0.0,0.0,0.0,0.0,1,0
2026-04-27T12:45:05.121695+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,meta,0.978022,0.529586,,,,,,,,958,27.8706,-2.2876,-0.3354,3.984,0,0
2026-04-27T12:45:05.121695+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,logreg,0.974558,0.532544,,,,,,,,1192,34.8993,-0.6617,-0.128,3.4368,0,0
2026-04-27T12:45:05.121695+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,mlp,0.974585,0.530325,,,,,,,,1029,29.0573,2.0201,0.3299,4.0264,0,1
2026-04-27T12:45:05.121695+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,ensemble,0.97051,0.54068,,,,,,,,0,0.0,0.0,0.0,0.0,0,0
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,base,0.993119,0.519231,,,,,,,,1015,26.8966,-8.8816,-1.8562,4.142,0,0
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,market,0.97051,0.54068,,,,,,,,0,0.0,0.0,0.0,0.0,1,0
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,meta,0.978022,0.529586,,,,,,,,958,27.8706,-2.2876,-0.3354,3.984,0,0
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,logreg,0.974558,0.532544,,,,,,,,1192,34.8993,-0.6617,-0.128,3.4368,0,0
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,mlp,0.974585,0.530325,,,,,,,,1029,29.0573,2.0201,0.3299,4.0264,0,1
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,ensemble,0.97051,0.54068,,,,,,,,0,0.0,0.0,0.0,0.0,0,0
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,base,0.993119,0.519231,,,,,,,,1015,26.8966,-8.8816,-1.8562,4.142,0,0
